Designator,Footprint,Quantity,Value,LCSC Part #
BZ301,FUET-5020,1,Buzzer-FUET-5020,C391029
"C101, C113, C114, C304",0603,4,100nF,C14663
"C102, C103",0603,2,22pF,C1653
"C104, C105, C106, C107, C108, C109, C110, C301, C302, C401, C402, C403, C404, C405, C406, C407, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C419, C420, C421, C422, C423, C424, C425",0402,34,100nF,C56392
C111,0603,1,10uF,C96446
"C112, C115, C303, C305",0603,4,1uF,C15849
"C201, C202",0805,2,10uF,C710989
C203,0603,1,1nF,C1588
"D201, D203",D_SOD-123,2,B5817W,C2909923
D202,WSON-6_1.5x1.5mm_P0.5mm,1,PRTR5V0U2F,C2937001
D301,0603,1,KT-0603R,C2286
"D401, D402, D403, D404, D405, D406, D407, D408, D409, D410, D411, D412, D413, D414, D415, D416, D417, D418, D419, D420, D421, D422, D423, D424, D425",LED_WS2812B-2020_PLCC4_2.0x2.0mm,25,WS2812B-2020,C965555
J201,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,S2B-PH-SM4-TB,C295747
"J301, J302",PinHeader_2x03_P2.54mm_Vertical_SMD,2,Conn_02x03_Odd_Even,C192301
J303,ZX-HY2.0-4PLT,1,ZX-HY2.0-4PLT,C7429562
J304,SAMTEC_HLE-115-02-F-DV,1,HLE-115-02-F-DV,
P201,USB_C_Receptacle_GCT_USB4110,1,USB_C_Plug_USB2.0,C5143397
Q301,SOT-23,1,DDTC113ZCA,C151437
"R101, R102, R105, R307",0603,4,1k,C21190
"R103, R104",0603,2,27R,C25190
"R201, R202",0603,2,5k1,C23186
R203,0603,1,100,C22775
"R301, R302",0603,2,10k,C25804
"R303, R304, R305, R306",0603,4,1M,C105578
R308,0603,1,33k,C25593
R309,0603,1,330R,C22104
S101,SW_TS-1187A-B-A-B,1,TS-1187A-B-A-B,C318884
U101,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U102,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U201,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U301,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3TR-C,C967633
U302,LMA3722T421-OA5,1,LMA3722T421-OA5,C5373233
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
