Designator,Mid X,Mid Y,Rotation,Layer
BZ301,-14.25,2.6,270.0,top
C101,17.5,-3.6,90.0,top
C102,-8.8,3.0,180.0,bottom
C103,-9.0,-1.9,0.0,bottom
C104,-2.9,5.3,180.0,bottom
C105,3.1,6.0,270.0,bottom
C106,4.6,2.9,270.0,bottom
C107,5.6,3.7,270.0,bottom
C108,-3.25,6.25,180.0,bottom
C109,6.1,-4.425,180.0,bottom
C110,4.05,6.0,270.0,bottom
C111,7.6,5.0,180.0,bottom
C112,7.6,3.5,180.0,bottom
C113,7.35,-1.1,180.0,bottom
C114,-6.75,-2.65,90.0,bottom
C115,-9.0,-3.4,0.0,bottom
C201,17.85,9.6,180.0,bottom
C202,13.65,9.55,0.0,bottom
C203,9.2,11.475,90.0,bottom
C301,-25.65,5.05,180.0,top
C302,-26.73,1.05,180.0,top
C303,18.957,16.5118,180.0,bottom
C304,18.195,14.175,270.0,bottom
C305,-17.65,3.7,270.0,top
C401,7.08971,15.25,180.0,top
C402,-8.91029,11.497876,0.0,top
C403,3.08971,15.25,180.0,top
C404,-4.91029,11.497876,0.0,top
C405,-0.91029,15.282,180.0,top
C406,-0.91029,11.497876,0.0,top
C407,-4.91029,15.25,180.0,top
C408,4.53,11.3,0.0,top
C409,-8.91029,15.25,180.0,top
C410,7.08971,11.497876,0.0,top
C411,7.08971,7.25,180.0,top
C412,3.08971,7.25,180.0,top
C413,-0.91029,7.25,180.0,top
C414,-4.91029,7.25,180.0,top
C415,-8.91029,7.25,180.0,top
C416,-8.91029,3.25,0.0,top
C417,-4.91029,3.25,0.0,top
C418,-0.91029,3.25,0.0,top
C419,3.08971,3.25,0.0,top
C420,7.08971,3.25,0.0,top
C421,7.08971,-0.75,180.0,top
C422,3.08971,-0.75,180.0,top
C423,-0.91029,-0.75,180.0,top
C424,-4.91029,-0.75,180.0,top
C425,-8.91029,-0.75,180.0,top
D201,11.1,13.15,270.0,bottom
D202,2.8,8.2,180.0,bottom
D203,-23.4,11.35,270.0,bottom
D301,22.8,13.0,270.0,top
D401,7.08971,13.497876,0.0,top
D402,-8.91029,9.497876,180.0,top
D403,3.08971,13.497876,0.0,top
D404,-4.91029,9.497876,180.0,top
D405,-0.91029,13.497876,0.0,top
D406,-0.91029,9.497876,180.0,top
D407,-4.91029,13.497876,0.0,top
D408,3.08971,9.497876,180.0,top
D409,-8.91029,13.497876,0.0,top
D410,7.08971,9.497876,180.0,top
D411,7.08971,5.497876,0.0,top
D412,3.08971,5.497876,0.0,top
D413,-0.91029,5.497876,0.0,top
D414,-4.91029,5.497876,0.0,top
D415,-8.91029,5.497876,0.0,top
D416,-8.91029,1.497876,180.0,top
D417,-4.91029,1.497876,180.0,top
D418,-0.91029,1.497876,180.0,top
D419,3.08971,1.497876,180.0,top
D420,7.08971,1.497876,180.0,top
D421,7.08971,-2.502124,0.0,top
D422,3.08971,-2.502124,0.0,top
D423,-0.91029,-2.502124,0.0,top
D424,-4.91029,-2.502124,0.0,top
D425,-8.91029,-2.502124,0.0,top
J201,-17.65,12.6,0.0,bottom
J301,-17.8,13.0,270.0,top
J302,17.4,13.0,90.0,top
J303,11.2,1.8,270.0,top
J304,0.0,-9.2,0.0,top
P201,0.0,14.0,180.0,bottom
Q301,-14.9,-1.9625,0.0,top
R101,21.7,-9.35,0.0,bottom
R102,-16.85,4.95,0.0,bottom
R103,7.35,0.45,0.0,bottom
R104,7.35,1.95,0.0,bottom
R105,-11.05,1.25,90.0,bottom
R201,8.4,15.3,0.0,bottom
R202,8.4,13.75,0.0,bottom
R203,7.7,11.475,270.0,bottom
R301,-29.25,3.075,90.0,top
R302,-27.3,6.05,270.0,top
R303,-17.9,-2.6,180.0,bottom
R304,-17.9,-1.1,180.0,bottom
R305,21.7,-7.75,180.0,bottom
R306,21.6,6.6,0.0,bottom
R307,21.2694,15.7498,90.0,bottom
R308,19.719,14.175,90.0,bottom
R309,22.8,10.0,90.0,top
S101,-9.55,12.2,270.0,bottom
U101,0.0,0.0,180.0,bottom
U102,13.6,-3.6,90.0,bottom
U201,14.7,4.15,90.0,bottom
U301,-26.7,3.05,0.0,top
U302,16.2992,15.2002,0.0,bottom
Y101,-8.15,0.55,180.0,bottom
